"date","monthly_return"
1999-02-26,-3.22825623775913
1999-03-31,3.87942154089167
1999-04-30,3.79440275962775
1999-05-28,-2.49704807961751
1999-06-30,5.44383311143248
1999-07-30,-3.20460923910917
1999-08-31,-0.625409168723501
1999-09-30,-2.85517924480246
1999-10-29,6.25395414523846
1999-11-30,1.90618589692204
1999-12-31,5.78438947399229
2000-01-31,-5.09035487919006
2000-02-29,-2.01080832563569
2000-03-31,9.67198283536481
2000-04-28,-3.07957557801913
2000-05-31,-2.19150506034178
2000-06-30,2.39335496158772
2000-07-31,-1.63412759041709
2000-08-31,6.0699104941671
2000-09-29,-5.34829747197643
2000-10-31,-0.494948542177065
2000-11-30,-8.00686101073089
2000-12-29,0.405344562372867
2001-01-31,3.46365766761645
2001-02-28,-9.22907353958596
2001-03-30,-6.42047108033915
